city,street,percent of religious,socio-economic index value,socio-economic rank,socio-economic cluster
חיפה,שדרות ורבורג,16.57,-0.34,464.333,4.0
חיפה,משה חיים שפירא,33.18,-0.922,235.0,2.0
חיפה,לוין אריה הרב,33.18,-0.922,235.0,2.0
חיפה,שטרן יוסף,33.18,-0.922,235.0,2.0
חיפה,פרומר דב,26.11,-0.484,408.0,3.5
חיפה,הים התיכון,23.2,-0.046,581.0,5.0
חיפה,"חב""ד",23.2,-0.046,581.0,5.0
חיפה,בר אילן,23.2,-0.046,581.0,5.0
חיפה,ארן זלמן,0.0,-0.14,535.0,4.5
חיפה,שדרות דגניה,0.0,-0.14,535.0,4.5
חיפה,"שדרות מח""ל",0.0,-0.14,535.0,4.5
חיפה,האצטדיון,0.0,-0.052,577.0,5.0
חיפה,בית אלפא,,-0.227,493.0,4.0
חיפה,טרומן,,-0.227,493.0,4.0
חיפה,שנקר אריה,0.0,0.985,1205.0,8.0
חיפה,"אח""י אילת",0.0,0.839,1123.75,7.5
חיפה,ברודסקי זאב,,,,
חיפה,בן צבי יצחק,0.0,0.656,1022.0,7.0
חיפה,שרת משה,0.0,0.844,1129.0,7.4
חיפה,הגדוד העברי,0.0,1.002,1214.0,8.0
חיפה,שיטרית בכור,,0.942,1186.5,7.5
חיפה,הראשונים,,1.019,1223.0,8.0
חיפה,קרן קיימת לישראל,,0.865,1150.0,7.0
חיפה,הפלוגות,,0.865,1150.0,7.0
חיפה,זייד אלכסנדר,,0.865,1150.0,7.0
חיפה,שדרות ההסתדרות,0.0,1.025,1228.0,8.0
חיפה,שבטי ישראל,0.0,1.025,1228.0,8.0
חיפה,ציזלינג אהרון,0.0,1.025,1228.0,8.0
חיפה,השיירה,0.0,0.327,839.0,6.0
חיפה,צייטלין אהרון,0.0,0.327,839.0,6.0
חיפה,חלוצי התעשיה,,,,
חיפה,הדשנים,,,,
חיפה,דרך ידין יגאל,,,,
חיפה,יוליוס סימון,,,,
חיפה,נתיבי המפרץ,,,,
חיפה,דרך דיין משה,,,,
חיפה,החרושת,,,,
חיפה,האשלג,,,,
חיפה,דרך העמקים,,,,
חיפה,החרמש,,,,
חיפה,בעלי מלאכה,,,,
חיפה,בר יהודה ישראל,0.84,-1.273,159.667,2.0
חיפה,הנפח,,,,
חיפה,מנהרות הכרמל,,0.165,737.0,6.0
חיפה,המלאכה,,,,
חיפה,אופיר,,,,
חיפה,דרך צייזל ירוחם,3.63,-1.41,134.0,2.0
חיפה,סלמאן,,,,
חיפה,דרך העצמאות,0.0,-0.529,359.5,3.5
חיפה,חירם,,,,
חיפה,וילבוש נחום,,,,
חיפה,שדרות בן גוריון,,,,
חיפה,ארליך דוד פרופ',,-0.473,381.0,3.0
חיפה,הגבורים,34.23,-1.213,181.0,2.143
חיפה,חטיבת גולני,3.63,-1.41,134.0,2.0
חיפה,אבן גבירול,3.63,-1.41,134.0,2.0
חיפה,"פלי""ם",,,,
חיפה,דרך רודיק שמעון,,,,
חיפה,שיבת ציון,,-0.584,338.5,3.0
חיפה,נתנזון,,,,
חיפה,שדרות המגינים,0.62,-0.424,402.833,3.667
חיפה,דרך אלנבי,0.62,-0.318,459.571,4.143
חיפה,שער פלמר,,-0.656,313.0,3.0
חיפה,כורי,,-0.502,369.5,3.0
חיפה,שדרות הציונות,0.0,-0.05,621.667,4.778
חיפה,התשעים ושלוש,,-0.512,364.0,3.0
חיפה,שבתאי לוי,,-0.639,323.0,3.0
חיפה,הואדי,,-0.492,375.0,3.0
חיפה,פרץ י. ל.,,-0.492,375.0,3.0
חיפה,הגפן,0.0,0.03,656.4,5.2
חיפה,מאיר (רוטברג),,-0.307,451.0,4.0
חיפה,מסילת הברזל,0.0,-0.438,393.5,3.5
חיפה,דרך יפו,1.8,-0.441,392.0,3.5
חיפה,שדרות רוטשילד,0.96,-0.356,430.0,4.0
חיפה,חיל הים,1.8,-0.452,388.333,3.333
חיפה,"צה""ל",0.0,-0.261,480.0,4.0
חיפה,המעפילים,0.0,-0.261,480.0,4.0
חיפה,דרך סטלה מריס,0.0,0.678,1028.667,7.0
חיפה,ברון הירש,,0.204,757.0,6.0
חיפה,שדרות ההגנה,0.0,-0.037,621.444,4.889
חיפה,אבנר,,-0.398,407.0,4.0
חיפה,סלוודור,,-0.398,407.0,4.0
חיפה,המכס,,-0.473,381.0,3.0
חיפה,זיסו א ל,,-0.473,381.0,3.0
חיפה,העליה השניה,,-0.395,412.5,3.5
חיפה,לוץ שרל,,-0.473,381.0,3.0
חיפה,אהרון (רוזנפלד),,-0.316,444.0,4.0
חיפה,שדרות בת גלים,,-0.316,444.0,4.0
חיפה,מרגולין פנחס,,-0.316,444.0,4.0
חיפה,המפרי יוברט,0.0,0.325,836.0,6.0
חיפה,התורן,0.0,0.325,836.0,6.0
חיפה,העוגן,0.0,0.325,836.0,6.0
חיפה,שטרן יאיר,0.0,0.325,836.0,6.0
חיפה,דרך צרפת,0.0,0.331,814.0,6.0
חיפה,ז'ורס,,0.177,743.0,6.0
חיפה,קניג פייר גנרל,,0.177,743.0,6.0
חיפה,יציאת אירופה,,0.05,653.333,5.333
חיפה,הרב רפאל אנקאווא,,-0.014,608.5,5.0
חיפה,"אצ""ל",0.0,0.306,805.0,5.333
חיפה,בר רב האי דוד,,0.059,656.0,5.0
חיפה,פז סעדיה,,-0.088,561.0,5.0
חיפה,שלמה המלך,0.0,0.429,879.5,5.5
חיפה,דרך הים,0.0,1.352,1374.6,8.0
חיפה,שונית,,1.468,1430.0,8.0
חיפה,אסתר המלכה,,1.468,1430.0,8.0
חיפה,דוד המלך,0.0,-0.61,329.0,3.0
חיפה,שאול המלך,0.0,-0.61,329.0,3.0
חיפה,"אלעזר דוד רא""ל",,0.846,1135.0,7.0
חיפה,זורע מאיר (זרו),,0.846,1135.0,7.0
חיפה,יוחאי בן-נון,,0.846,1135.0,7.0
חיפה,סחרוב אנדרה,,,,
חיפה,חת נחום,,,,
חיפה,פלימן משה,,1.793,1535.0,9.0
חיפה,רוטנברג פנחס ואברהם,,,,
חיפה,מבוא חיפה,,,,
חיפה,מגורשי ספרד,,,,
חיפה,קדושי יאסי,,,,
חיפה,צביה ויצחק,,,,
חיפה,"ויינשל אברהם ד""ר",0.0,1.92,1556.0,9.0
חיפה,"י""א הספורטאים",,1.793,1535.0,9.0
חיפה,לאה,,1.933,1561.0,9.0
חיפה,רחל,,1.952,1566.5,9.0
חיפה,צפרירים,,1.672,1483.0,8.5
חיפה,אלכסנדר ינאי,,1.933,1561.0,9.0
חיפה,רות,,1.933,1561.0,9.0
חיפה,שדרות מוריה,,1.652,1480.5,8.5
חיפה,שמשון,,1.756,1509.333,8.667
חיפה,מרגלית,,1.971,1572.0,9.0
חיפה,הירקון,,1.971,1572.0,9.0
חיפה,האסיף,,1.448,1399.0,8.333
חיפה,ביכורים,,1.648,1478.0,8.5
חיפה,יותם,,1.883,1551.0,9.0
חיפה,מבצע יונתן,,1.571,1454.333,8.333
חיפה,ראש מיה,,1.746,1496.0,8.5
חיפה,דרך רופין,77.62,0.637,1008.6,6.2
חיפה,ורדיה,,2.092,1590.0,9.0
חיפה,נורית,,2.092,1590.0,9.0
חיפה,צבעוני,,2.092,1590.0,9.0
חיפה,בלום לאון,18.1,0.501,949.0,6.5
חיפה,שדרות וינגיט,22.1,0.414,877.75,6.0
חיפה,סנש חנה,18.1,0.501,949.0,6.5
חיפה,"האר""י",8.76,0.247,781.5,6.0
