dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,takeout,wheelchair_accessible_entrance,curbside_pickup,website,price_level,sunday_open,sunday_close,wednesday_open,wednesday_close,friday_open,friday_close,saturday_open,saturday_close,open_on_saturday,geo_location,percent of religious,socio-economic rank,store_100,store_500,rest_100,rest_500,bus_station_100,bus_station_500,type,kosher,grade
True,False,False,False,False,False,False,False,False,True,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8252023, 34.9574889]",0.0,836.0,0,11,2,2,0,9,,,55.804
True,False,False,True,False,False,True,True,True,True,True,True,True,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8256705, 34.9579041]",0.0,836.0,0,11,2,2,0,10,,,88.0
True,True,True,False,False,False,True,True,False,True,False,True,True,1.0,690.0,1470.0,690.0,1470.0,660.0,900.0,1110.0,1470.0,False,"[32.8214534, 34.963784]",0.0,814.0,20,43,5,6,1,26,פיצריות,False,79.998
True,True,True,False,False,False,False,True,False,True,False,False,False,1.0,660.0,1380.0,660.0,1380.0,660.0,930.0,1050.0,1380.0,True,"[32.8216218, 34.9639689]",0.0,814.0,21,43,5,6,2,27,פיצריות,False,32.169
True,False,True,False,False,False,False,False,False,True,False,False,False,2.0,690.0,1500.0,690.0,1500.0,600.0,1020.0,-1.0,-1.0,False,"[32.8216043, 34.9639602]",0.0,814.0,21,43,5,6,2,27,סנדוויץ' בר,True,72.02
True,True,True,False,False,False,True,False,False,True,True,False,True,1.0,660.0,1380.0,660.0,1380.0,660.0,930.0,1110.0,1380.0,False,"[32.8216664, 34.9641377]",0.0,814.0,21,42,5,6,2,26,פיצריות,False,78.0
True,True,True,True,False,False,True,True,True,True,True,True,True,2.0,720.0,1020.0,720.0,1320.0,720.0,1320.0,720.0,1320.0,True,"[32.8294968, 34.964408]",0.0,621.444,1,9,1,3,1,11,מסעדת דגים,False,86.0
True,True,False,False,False,False,False,False,False,True,False,True,True,2.0,1020.0,1500.0,1020.0,1500.0,720.0,1560.0,720.0,1560.0,True,"[32.8182747, 34.9621385]",0.0,814.0,1,50,0,8,2,31,,False,82.489
True,False,False,False,False,False,True,True,False,True,False,False,False,2.0,1020.0,1320.0,1020.0,1320.0,1020.0,1320.0,1020.0,1320.0,True,"[32.8312347, 34.966192]",0.0,836.0,0,2,1,7,1,12,,False,52.498
True,False,False,False,False,False,False,False,False,False,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8312347, 34.966192]",0.0,836.0,0,2,1,7,1,12,,,65.201
True,False,True,True,False,False,True,True,False,False,False,False,False,2.0,480.0,1350.0,480.0,1350.0,450.0,1470.0,450.0,1470.0,True,"[32.8267455, 34.9693547]",0.0,1135.334,0,7,1,7,2,15,,False,78.847
True,False,True,True,True,True,True,True,True,True,True,False,False,2.0,480.0,1350.0,480.0,1350.0,480.0,1410.0,480.0,1380.0,True,"[32.8269322, 34.9693839]",0.0,1028.667,0,7,1,7,2,17,בתי קפה,False,84.0
True,False,True,True,False,True,True,True,False,True,False,False,True,2.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,True,"[32.8280188, 34.9700524]",0.0,1028.667,1,12,2,12,1,18,,False,90.0
True,True,False,True,True,True,False,True,False,True,True,False,True,2.0,480.0,1350.0,480.0,1350.0,480.0,1350.0,480.0,1350.0,True,"[32.8123812, 34.9556842]",0.0,1117.5,1,19,0,5,2,15,מסעדה ים תיכונית,False,78.0
True,True,True,True,False,False,True,True,True,True,False,False,True,2.0,735.0,1380.0,735.0,1380.0,720.0,1440.0,735.0,1380.0,True,"[32.8280906, 34.9700851]",0.0,1028.667,1,12,2,12,1,18,מסעדה ים תיכונית,False,92.0
True,False,True,True,False,False,True,True,False,True,True,False,True,2.0,720.0,1380.0,720.0,1380.0,720.0,1440.0,720.0,1440.0,True,"[32.8279914, 34.9702041]",0.0,1028.667,1,12,2,12,1,18,מסעדה ים תיכונית,False,86.0
False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8245614, 34.9705137]",0.0,1348.667,4,8,0,7,3,21,,,10.25
True,False,True,False,False,False,True,True,False,True,True,False,True,2.0,660.0,1380.0,660.0,1380.0,660.0,870.0,1080.0,1380.0,True,"[32.8127736, 34.9610985]",0.0,1117.5,11,27,2,9,2,27,מסעדת המבורגרים,False,78.631
True,True,True,True,False,False,True,True,False,True,True,False,True,2.0,600.0,1380.0,600.0,1380.0,600.0,930.0,1230.0,1380.0,False,"[32.812489, 34.960946]",0.0,1430.0,11,27,2,10,2,27,מסעדת המבורגרים,,82.0
True,False,True,False,False,False,False,False,False,False,False,False,False,2.0,581.0,1291.0,588.0,1292.0,571.0,1116.0,766.0,1365.0,,"[32.8240841, 34.9717711]",0.0,1348.667,0,17,0,7,2,24,,,53.743
True,False,True,True,False,False,True,True,True,True,True,True,True,2.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,True,"[32.8313784, 34.970442]",0.0,412.5,0,11,3,11,2,16,מסעדה ים תיכונית,False,88.0
True,True,True,True,False,False,True,True,True,True,True,True,True,2.0,720.0,1440.0,720.0,1440.0,720.0,1560.0,720.0,1500.0,True,"[32.8313908, 34.9704919]",0.0,412.5,0,11,3,11,2,16,,False,94.835
True,True,True,True,False,True,True,True,True,True,False,False,True,2.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,720.0,1380.0,True,"[32.8313908, 34.9704919]",0.0,412.5,0,11,3,11,2,16,מסעדה איטלקית,False,90.0
