dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup,place_id,name,rating,price_level,user_ratings_total,website,city,street,street_number,full_address,geo_location,sunday_activity_hours,monday_activity_hours,tuesday_activity_hours,wednesday_activity_hours,thursday_activity_hours,friday_activity_hours,saturday_activity_hours,open_activity_hour,close_activity_hour,open_on_saturday
True,,,,,,,,,,True,,,ChIJVys257m7HRURhPm4MFKivO4,דב הים juicy bar שיקמונה,4.4,,11,False,חיפה,יוברט המפרי,,"יוברט המפרי, חיפה","{'lat': 32.8252023, 'lng': 34.9574889}",,,,,,,,,,
True,,,True,,,True,True,True,,True,True,True,ChIJbVIrBmi7HRURXifrQfA5hxQ,סלמתרק - Salamtruck,4.4,2.0,252,True,חיפה,יוברט המפרי,,"יוברט המפרי, חיפה","{'lat': 32.8256705, 'lng': 34.9579041}",,,,,,,,,,
True,True,True,False,,,True,True,,False,True,,True,ChIJGzK4ppG7HRURFvkw3qtHWYA,קראנץ' פיצה,4.0,1.0,217,True,חיפה,דרך צרפת,63,"דרך צרפת 63, חיפה","{'lat': 32.8214534, 'lng': 34.963784}","[690, 1470]","[690, 1470]","[690, 1470]","[690, 1470]","[690, 1470]","[660, 900]","[1110, 1470]",690.0,1470.0,False
True,True,True,False,,,,True,,False,True,,False,ChIJVVWFo5G7HRURV9tsLsc_Nqk,פיצה סטורי רמת שאול חיפה,2.8,1.0,6,False,חיפה,דרך צרפת,63,"דרך צרפת 63, חיפה","{'lat': 32.8216218, 'lng': 34.9639689}","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 930]","[1050, 1380]",660.0,1380.0,True
True,,True,,,,,,,,True,,,ChIJzxi4ppG7HRURLA8tNcDv8k8,דודא,4.0,,44,False,חיפה,דרך צרפת,63,"דרך צרפת 63, חיפה","{'lat': 32.8216043, 'lng': 34.9639602}","[690, 1500]","[690, 1500]","[690, 1500]","[690, 1500]","[690, 1500]","[600, 1020]","[-1, -1]",690.0,1500.0,False
True,True,True,False,,False,True,,,False,True,True,,ChIJZf_eoJG7HRURteN1XeBHNLQ,פיצה שמש,3.9,1.0,312,True,חיפה,דרך צרפת,63,"דרך צרפת 63, חיפה","{'lat': 32.82166639999999, 'lng': 34.96413769999999}","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 930]","[1110, 1380]",660.0,1380.0,False
True,True,True,True,False,False,True,True,True,True,True,True,True,ChIJX8CVGO27HRUR7C_2Z4fdMRI,Shrimps House,4.3,2.0,2334,True,חיפה,שדרות ההגנה,105,"שדרות ההגנה 105, חיפה","{'lat': 32.8294968, 'lng': 34.964408}","[720, 1020]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]",720.0,1260.0,True
True,True,,,,,,,,,True,,True,ChIJeRsWsCC7HRURFuFUuPWSYGk,הַכְּנוּפְיָה - כנאפה עד הבית בחיפה,4.2,,80,True,חיפה,סעדיה גאון,10,"סעדיה גאון 10, חיפה","{'lat': 32.8182747, 'lng': 34.96213850000001}","[1020, 1500]","[1020, 1500]","[1020, 1500]","[1020, 1500]","[1020, 1560]","[720, 1560]","[720, 1560]",1020.0,1512.0,True
True,,,,,,True,True,,,True,,,ChIJrfSTcR-7HRURgKHt2fYcqXw,RedSunset,5.0,,2,False,חיפה,יוברט המפרי,11,"יוברט המפרי 11, חיפה","{'lat': 32.8312347, 'lng': 34.966192}","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]",1020.0,1320.0,True
True,,,,,,,,,,,,,ChIJZ-scq8K7HRURezKVxKyb7dQ,Falafel Gordon #1FoodTruck,4.8,,15,False,חיפה,יוברט המפרי,11,"יוברט המפרי 11, חיפה","{'lat': 32.8312347, 'lng': 34.966192}",,,,,,,,,,
