place_id,geo_location,type
ChIJVys257m7HRURhPm4MFKivO4,"{'lat': 32.8252023, 'lng': 34.9574889}",restaurant
ChIJbVIrBmi7HRURXifrQfA5hxQ,"{'lat': 32.8256705, 'lng': 34.9579041}",restaurant
ChIJ89761d-7HRURyhaXXs1Wdus,"{'lat': 32.8178985, 'lng': 34.9593883}",restaurant
ChIJGzK4ppG7HRURFvkw3qtHWYA,"{'lat': 32.8214534, 'lng': 34.963784}",restaurant
ChIJVVWFo5G7HRURV9tsLsc_Nqk,"{'lat': 32.8216218, 'lng': 34.9639689}",restaurant
ChIJzxi4ppG7HRURLA8tNcDv8k8,"{'lat': 32.8216043, 'lng': 34.9639602}",restaurant
ChIJZf_eoJG7HRURteN1XeBHNLQ,"{'lat': 32.82166639999999, 'lng': 34.96413769999999}",restaurant
ChIJX8CVGO27HRUR7C_2Z4fdMRI,"{'lat': 32.8294968, 'lng': 34.964408}",restaurant
ChIJeRsWsCC7HRURFuFUuPWSYGk,"{'lat': 32.8182747, 'lng': 34.96213850000001}",restaurant
ChIJrfSTcR-7HRURgKHt2fYcqXw,"{'lat': 32.8312347, 'lng': 34.966192}",restaurant
ChIJZ-scq8K7HRURezKVxKyb7dQ,"{'lat': 32.8312347, 'lng': 34.966192}",restaurant
ChIJfT__CYW7HRURs1vy926D-kc,"{'lat': 32.8150277, 'lng': 34.959975}",restaurant
ChIJT6RqLuu7HRURQ9jCIGPUwH8,"{'lat': 32.8267455, 'lng': 34.9693547}",restaurant
ChIJQd0n1rm7HRURKLtZhEwujfQ,"{'lat': 32.8269322, 'lng': 34.9693839}",restaurant
ChIJc9tjTYK7HRURWYOcx3kS4sc,"{'lat': 32.812696, 'lng': 34.9580313}",restaurant
ChIJ0WPLh8C7HRURMrkUYksexbo,"{'lat': 32.82801879999999, 'lng': 34.97005239999999}",restaurant
ChIJO8HJtsW7HRURuUluWLEzUsE,"{'lat': 32.8123812, 'lng': 34.9556842}",restaurant
ChIJc1jy4uq7HRUR2A9n8URHjjg,"{'lat': 32.8280906, 'lng': 34.9700851}",restaurant
ChIJRzFY0Lm7HRURmIGHnMw3kC8,"{'lat': 32.8279914, 'lng': 34.9702041}",restaurant
