station_id,geo_location
5934,"{'lat': 32.796494, 'lng': 35.011307}"
5954,"{'lat': 32.815448, 'lng': 34.989645}"
10670,"{'lat': 32.82307, 'lng': 34.980193}"
10702,"{'lat': 32.790454, 'lng': 34.986961}"
9985,"{'lat': 32.805112, 'lng': 35.002042}"
30105,"{'lat': 32.793306, 'lng': 35.032932}"
30110,"{'lat': 32.773846, 'lng': 35.026578}"
29214,"{'lat': 32.817289, 'lng': 34.999841}"
29206,"{'lat': 32.822683, 'lng': 34.993678}"
29205,"{'lat': 32.81815, 'lng': 35.000376}"
9974,"{'lat': 32.791597, 'lng': 35.019109}"
9900,"{'lat': 32.775027, 'lng': 35.003142}"
9899,"{'lat': 32.773372, 'lng': 35.00575}"
9780,"{'lat': 32.803917, 'lng': 35.000629}"
10166,"{'lat': 32.77925, 'lng': 35.015035}"
9959,"{'lat': 32.779868, 'lng': 34.980526}"
1143,"{'lat': 32.817948, 'lng': 34.963603}"
1144,"{'lat': 32.817847, 'lng': 34.964666}"
1145,"{'lat': 32.807822, 'lng': 34.97671}"
1146,"{'lat': 32.79928, 'lng': 34.988155}"
1147,"{'lat': 32.800678, 'lng': 34.98642}"
1149,"{'lat': 32.821461, 'lng': 34.966614}"
1150,"{'lat': 32.808374, 'lng': 34.992409}"
1152,"{'lat': 32.818198, 'lng': 34.97421}"
1157,"{'lat': 32.825405, 'lng': 35.069411}"
1159,"{'lat': 32.827502, 'lng': 35.061701}"
1160,"{'lat': 32.784288, 'lng': 35.024268}"
1162,"{'lat': 32.813078, 'lng': 35.000935}"
1164,"{'lat': 32.78307, 'lng': 35.023575}"
1165,"{'lat': 32.784887, 'lng': 35.017378}"
1169,"{'lat': 32.777401, 'lng': 34.999359}"
1173,"{'lat': 32.783083, 'lng': 34.993507}"
1178,"{'lat': 32.821611, 'lng': 35.078235}"
1179,"{'lat': 32.832132, 'lng': 34.975971}"
1180,"{'lat': 32.818518, 'lng': 34.981465}"
1195,"{'lat': 32.825733, 'lng': 35.07019}"
1196,"{'lat': 32.82101, 'lng': 35.069784}"
1199,"{'lat': 32.782255, 'lng': 35.015992}"
1203,"{'lat': 32.797878, 'lng': 35.016909}"
14577,"{'lat': 32.807334, 'lng': 34.967326}"
14598,"{'lat': 32.827283, 'lng': 34.969353}"
14552,"{'lat': 32.767055, 'lng': 35.01242}"
14397,"{'lat': 32.816973, 'lng': 34.978933}"
14487,"{'lat': 32.810554, 'lng': 35.001759}"
14560,"{'lat': 32.804173, 'lng': 35.011082}"
14533,"{'lat': 32.77772, 'lng': 35.000122}"
14473,"{'lat': 32.777211, 'lng': 35.028426}"
14464,"{'lat': 32.821625, 'lng': 34.974131}"
14543,"{'lat': 32.780161, 'lng': 35.024632}"
14656,"{'lat': 32.778257, 'lng': 35.016215}"
14409,"{'lat': 32.819931, 'lng': 34.984418}"
14402,"{'lat': 32.833364, 'lng': 35.052689}"
14570,"{'lat': 32.818358, 'lng': 35.054234}"
14572,"{'lat': 32.822509, 'lng': 35.057912}"
14574,"{'lat': 32.824119, 'lng': 35.064426}"
14614,"{'lat': 32.824963, 'lng': 35.062959}"
15018,"{'lat': 32.815833, 'lng': 34.977583}"
15023,"{'lat': 32.78654, 'lng': 34.996892}"
15029,"{'lat': 32.778649, 'lng': 34.980116}"
15207,"{'lat': 32.820732, 'lng': 35.062455}"
14651,"{'lat': 32.773153, 'lng': 35.008136}"
14650,"{'lat': 32.77139, 'lng': 35.007758}"
14627,"{'lat': 32.776611, 'lng': 35.020378}"
14554,"{'lat': 32.76728, 'lng': 34.992679}"
14482,"{'lat': 32.778905, 'lng': 35.01965}"
14628,"{'lat': 32.78009, 'lng': 35.022053}"
14649,"{'lat': 32.770985, 'lng': 35.007883}"
10001,"{'lat': 32.802782, 'lng': 34.97389}"
10040,"{'lat': 32.801784, 'lng': 34.983475}"
14819,"{'lat': 32.795454, 'lng': 35.02183}"
14826,"{'lat': 32.827306, 'lng': 34.987692}"
14880,"{'lat': 32.833393, 'lng': 35.053281}"
14377,"{'lat': 32.823049, 'lng': 34.973706}"
14454,"{'lat': 32.818888, 'lng': 34.97618}"
14597,"{'lat': 32.829824, 'lng': 34.970493}"
14629,"{'lat': 32.798436, 'lng': 35.02111}"
14648,"{'lat': 32.804254, 'lng': 35.009152}"
14974,"{'lat': 32.803268, 'lng': 35.046074}"
10008,"{'lat': 32.824335, 'lng': 34.960595}"
15024,"{'lat': 32.794313, 'lng': 34.993702}"
15205,"{'lat': 32.799494, 'lng': 34.989575}"
14621,"{'lat': 32.793327, 'lng': 34.958984}"
14571,"{'lat': 32.819913, 'lng': 35.055669}"
14592,"{'lat': 32.788621, 'lng': 34.968805}"
14431,"{'lat': 32.820345, 'lng': 34.980252}"
14567,"{'lat': 32.787714, 'lng': 34.970588}"
14620,"{'lat': 32.793323, 'lng': 34.959587}"
14622,"{'lat': 32.793854, 'lng': 34.959025}"
14630,"{'lat': 32.763838, 'lng': 35.015947}"
14582,"{'lat': 32.796765, 'lng': 34.984024}"
14810,"{'lat': 32.776038, 'lng': 35.027229}"
14878,"{'lat': 32.805327, 'lng': 34.964662}"
