min for pruning,max depth,min samples leaf,train acc,train MSE,valid acc,valid MSE
3,3,0.1,0.8763672236079957,264.50228190711215,0.8743250389248317,271.9370204185214
3,3,0.15,0.8758216795398349,264.1419114246817,0.8741442689592585,270.39365187628954
3,3,0.2,0.8782497461545228,256.3586647776732,0.8760660356942731,264.43839051866314
3,3,0.25,0.880449587240415,250.49008926829706,0.8790988458561342,256.81449501012514
3,5,0.1,0.8831929282023131,236.04672136933854,0.8746934550583194,270.4132995901647
3,5,0.15,0.8864957557126765,225.65603403033055,0.8763586539756749,269.235491799682
3,5,0.2,0.8891753100972017,217.9632693572497,0.8798844634899398,257.62687813951953
3,5,0.25,0.8934996688288088,207.52000986836183,0.8794856357907695,265.2613429711604
3,8,0.1,0.8992827588388643,186.33133280966837,0.8708669364046902,294.40523603733766
3,8,0.15,0.908498261889736,158.20393081137212,0.8734571763753044,293.9728684224018
3,8,0.2,0.9165172267519714,137.59189763651858,0.87515687571046,288.6362778062819
3,8,0.25,0.9220019460431728,121.87648392487604,0.869765323328104,316.10599757980697
3,10,0.1,0.9118914240515282,151.80813713771303,0.8668541541164227,315.6056551922632
3,10,0.15,0.924496809561122,117.58545483426774,0.8704346934877947,312.57029619718264
3,10,0.2,0.9364446596259773,86.84343212803239,0.8706521988775137,319.71437277806365
3,10,0.25,0.9431371783553393,72.60830902297427,0.8647336811147694,348.0662503720554
3,12,0.1,0.9251019331678665,122.1487984280252,0.864332917628228,326.64015126851893
3,12,0.15,0.9393633135092285,84.16377393704013,0.8674867924793622,323.1070094180872
3,12,0.2,0.9538194412788041,51.815211101598535,0.8667397065657857,341.4864618920146
3,12,0.25,0.9580464520441512,42.362855628368834,0.8614619984228729,368.1891439633524
3,15,0.1,0.942817055590535,84.27727073686064,0.861345843583248,344.97484981639946
3,15,0.15,0.9570355015798245,49.32413394229294,0.8650072446256898,335.28822381011184
3,15,0.2,0.9694991003739831,24.56900966647296,0.8636919359604216,357.60063789664383
3,15,0.25,0.9684216308885393,24.3532149855774,0.8589695089321869,385.55145579277524
10,3,0.1,0.8763672236079957,264.50228190711215,0.8743250389248317,271.9370204185214
