dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup,name,price_level,rating,user_ratings_total,sunday_activity_hours,monday_activity_hours,tuesday_activity_hours,wednesday_activity_hours,thursday_activity_hours,friday_activity_hours,saturday_activity_hours,open_activity_hour,close_activity_hour,open_on_saturday,reviews,geo_location,percent of religious,socio-economic index value,socio-economic rank,socio-economic cluster,store_100,store_500,rest_100,rest_500,bus_station_100,bus_station_500,type,kosher
True,,,,,,True,True,,,True,,,דב הים juicy bar שיקמונה,,4.4,11,,,,,,,,,,,"{'', 'מקום', 'טובה', 'שייקים', 'מגוון', 'תמיד', 'יש', 'מיצים', 'מוזיקה', 'שש', 'של', 'הקפה', 'בכלל', 'את', 'בשקיעה', 'המוכר', 'עם', 'טוב', 'ישיבה', 'הטיילת', 'הכי', 'לצפות', 'גלידות', 'להתרעננות', 'ביותר', 'יל', 'חטיפים', 'הטוב', 'פונקציונלי', 'וחצי', 'השולחנות', 'נוף', 'בקיץ', 'פותח', 'וליהנות', 'זה', 'אחרי', 'קפה', 'מקובל', 'בשעה', 'החדש', 'פינת', 'טריים', 'או', 'מקצועי', 'מסביב', 'אין', 'השירות', 'הרצים', 'שסידרו', 'טיל', 'באמצע', 'שייק', 'לים', 'נפלאה', 'המקום', 'החוף', 'על', 'ואווירה', 'פה', 'חמוד', 'ומהים', 'הדשא', 'פירות', 'נחמדה', 'ושייקים', 'ושתייה', 'אייד', 'בואו', 'מהבריזה', 'לכם', 'ואחרי', 'בחיפה', 'בבוקר', 'טעים', 'ריצה'}","[32.8252023, 34.9574889]",0.0,0.162,418.0,3.0,0,11,2,2,0,9,,
True,,,True,,,True,True,True,,True,True,True,סלמתרק - Salamtruck,2.0,4.4,252,,,,,,,,,,,"{'', 'יכלתי', 'מקום', 'אחריו', 'שכל', 'בל', 'אחת', 'דבר', 'להנות', 'שהבאתם', 'שכיף', 'כמו', 'המיקום', 'ושבת', 'הרכיבים', 'והמלאי', 'להיות', 'בורקס', 'ואגוזים', 'מנעמים', 'ושעועית', 'קרם', 'הוא', 'ביחד', 'מילוי', 'ולאכול', 'מרק', 'מתחלף', 'הטעם', 'קוקוס', 'מקומית', 'ממש', 'לחקר', 'מומלצות', 'אחד', 'לבד', 'שמחנו', 'דלעת', 'לקח', 'בקיצור', 'פוד', 'דוסה', 'הרגישו', 'בחיפה', 'אניני', 'הייתה', 'חיות', 'טעימים', 'בסיסי', 'שלו', 'עצמו', 'הגיעה', 'הים', 'כוס', 'מזור', 'צמוד', 'לבדוק', 'כופתא', 'איזה', 'התיבול', 'לחובבי', 'ומצומצם', 'קשיו', 'לבקש', 'עד', 'צמחוני', 'הפחות', 'לתפריט', 'הסלט', '5', 'ועוד', 'היביסקוס', 'ומומלצת:)', 'בדיוק', 'גם', 'ומרוצים', 'זוג', 'ולא', 'כמוני', 'כן', 'חוויה', 'מידי', 'תוצרת', 'להתאפק', 'האוכל', 'זה', 'לאכול', 'יפה', '17:00', 'אוכל', 'שיקמונה', 'שולחנות', 'ההודי', 'במנות', 'שונות', 'טעים', 'שוקלד', 'סלמתק', 'חמישי', 'מביניהם)', 'או', 'בכלל)', 'מול', 'וכרובית', 'לימון', 'מנה', '-', 'שרות', 'העיקרון', 'מאד', 'אבל', 'אוכלת', 'ברוטב', 'להגיע', 'מוצלח', 'שוקו', 'שבעים', 'לא', 'מעל', 'השווים', 'מיקום', 'ארוחה', 'שקשה', 'טעם', 'עשיר', 'את', 'תבשיל', 'ממליץ', 'מבחינת', 'טראק', 'וגם', 'מעולה', 'להציע', 'דמוי', 'ארטיק', 'כיפית', 'מאוכל', 'בשביל', 'איתן', 'לכן', 'פי', '21:00', 'מוותר', 'משקה', 'מומלץ', 'ספסלים', 'בנדיבות', 'שזה', 'במרקם', 'שזוכה', 'כייף', 'שמש', 'מתמרים', 'תמצאו', 'למכון', 'ניו', 'באותו', 'עליי', 'לגודל', 'ללכת', 'לו', 'עוגיות', 'סבירים', 'לחוף', 'לשבת', 'חריף', 'בחום', 'מנת', 'ויצאנו', ""הווג'י"", 'סופר', 'לחלוטין', 'ניחוחות', 'שהיה', 'בחירה', 'האהודה', 'מדהים', 'יד', 'טעימה', 'לנו', ""מהצ'אטני"", 'ששטף', 'במילוי', 'דלהי', 'ולקינוח', 'בציפוי', 'הרגיש', 'משעה', 'חוץ', 'אחלה', 'ממוקמים', 'עגלת', 'זו', 'קצת', 'ופינה', 'שעות', 'יומי', 'על', 'הפתיחה', 'שהאוכל', 'כי', 'ובריאה', 'סמיך', 'לשמוע', 'כללי', 'של', 'התחלנו', 'כל', 'התפוח', 'למרות', 'מאוד', 'סלט', 'הייתי', 'עליו', 'נגמר', 'קורמה', 'חלק', 'טריים', 'מבחר', 'הסמוסה', 'הזמנו', 'הודי', 'סלמתרק', 'המקומות', 'אוכלים', 'אהבתי', 'התפריט', 'מסעדה', 'בה', 'יכול', 'בסך', 'אמליץ', 'שלוש', 'ומומבאי', 'אומנם', 'החריפות', 'ואגמים', 'טבעוני', 'בין', 'וואו', 'וגרידת', 'מזנון', 'שישי', 'המנות', 'טיפה', 'והחלטנו', 'גבוה', 'אדמה', 'אגוזים', 'המקום', 'אך', 'ובטח', 'לימונדת', 'פשוט', 'פתוח', 'ימים', 'חזק', 'האורז', 'שישה', 'רך', 'דל', 'תפוחי', 'אז', 'הדשא', 'בו', 'וספסלים', 'שהיא', 'עם', 'המחירים', 'באופן', 'בשני', 'השלישי', 'שהמחיר', 'מה', 'פורי', 'עוד', 'קּולְפִי', 'תענוג', 'מפוזרים', '–', 'מאכזב', 'יום', 'קודם', 'רוטב', 'להאמין', 'סָלַמְתְרָק', 'תפל', 'עשירה', 'אציין', 'בזמן', 'מסאלה', 'בפה', 'נימוחות', 'אדיב', 'ליד', 'מובטחת', 'שורפת', 'שלא', 'המיוחדים', 'המאפה', 'בירקות', 'לימוני', 'מהטרנד', 'מרגיש', 'מעולות', 'טיילת', 'מעט', 'נעימה', 'העיר', 'שיש', 'וחזק', '20:00', 'נכנס', 'ים', 'חרפרפה', 'בצק', 'ולאלה', '(ואני', '(המוקדם', 'עבודת', 'סך', 'היה', 'לערבב', 'למי', 'החדש', '12:00', 'מנות', 'אפשר', 'הכל', 'אותו', 'בסולם', 'הקינוחים'}","[32.8256705, 34.9579041]",0.0,0.162,418.0,3.0,0,11,2,2,0,10,,
True,True,True,False,False,False,True,True,,False,True,,True,קראנץ' פיצה,1.0,4.0,217,"[690, 1470]","[690, 1470]","[690, 1470]","[690, 1470]","[690, 1470]","[660, 900]","[1110, 1470]",690.0,1470.0,False,"{'', 'הפיצה', 'שהשירות', 'ולכו', 'במקום', 'שנקרא', 'סבבה', 'קיבלו', 'יבשה', 'מביאים', 'בילבולים', 'סבירה', 'טעימה', 'חפשו', 'כיף', 'ושירות', 'בצל', 'הבית', 'כספם', 'וזיתים', 'פיצה', 'לגמרי', 'תוספות', 'עם', 'לענות', 'נחמד', 'מה', 'הזמנה', 'המילוי', 'מזה', 'שירות', 'אני', 'מגיע', 'בהזמנות', 'מחיר', 'גבינה', 'נחמדה', 'מאכזב', 'לא', 'בחיפה', 'פעם', 'של', 'עשינו', 'את', 'ללא', 'למרות', 'מאוד', 'שכבר', 'הגיעה', 'שלא', 'יודעות', 'ילדות', 'אחרי', 'וטרי', 'נותן', 'מענה', 'שלקחנו', 'עד', 'ואף', 'שיש', 'מומלץ', 'שמבקשים', 'במסגרת', 'מהם', 'הכי', 'פושרת', 'שבטוח', 'זה', 'לאכול', 'בפרט', 'מזעזע', 'צוות', 'וכמעט', 'יותר', 'חם', 'אזמין', 'רטבים'}","[32.8214534, 34.963784]",0.0,0.146,229.172,1.562,20,43,5,6,1,26,פיצריות,False
True,True,True,False,False,False,True,True,,False,True,,False,פיצה סטורי רמת שאול חיפה,1.0,2.8,6,"[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 930]","[1050, 1380]",660.0,1380.0,True,"{'', 'אלינו', 'הפיצה', 'של', 'סגור', 'זול', 'דקות', 'טענו', 'דיברו', 'פיצו', 'אנשי', 'יחסית', 'שעה', 'ב18', 'למרחק', 'היום', 'שמתחייבים', 'הסניף', 'ולא', 'ויחזרו', 'ממש', 'ושווה', '4', 'משלוחים', 'הגיעה', 'ל14', '6', 'קרה', 'אבל', 'סביר', 'אחרי', 'ורבע', 'שהנושא', 'חצי', 'או', 'מדא', 'הזמנו', 'בבדיקה', 'למחיר', 'הגיעו', 'לשעה', 'הפיצות', 'טעימה', 'בתוספות', 'צוות', 'ו25', 'שעברה', 'איחרו', 'במשלוח', 'איתנו', 'משהו', 'מהסניף', 'נמצא', 'לא', 'עברה', 'מאז', 'דליל', 'מתקמצנים', '5', 'בפועל', 'פיצות', 'בחצי', 'אמרו', 'פיצה', 'טעים'}","[32.8216218, 34.9639689]",0.0,0.146,229.172,1.562,21,43,5,6,2,27,פיצריות,False
True,,True,True,False,False,True,True,,True,True,,,דודא,,4.0,44,"[690, 1500]","[690, 1500]","[690, 1500]","[690, 1500]","[690, 1500]","[600, 1020]","[-1, -1]",690.0,1500.0,False,"{'', 'השף', 'בשרים', 'בחום', 'במקום', 'מסעדת', 'שירותיים', 'ומיוחד', 'ביותר', 'כמו', 'מביאים', ""ג'בטה"", 'שווה', 'היו', 'מטבח', 'מקבלים', 'בעלי', 'שף', 'ומעניין', 'מזמין', 'הזמין', 'מוזיאון', 'שלנו', 'ראיתי', 'כמה', 'עם', 'לי', 'נחזור', 'מיוחד', 'העיצוב', 'בחמישי', 'מעוצבת', 'רמה', 'בשר', 'שירות', 'בוקרים', 'אהבנו', 'ביס', 'שלי', 'משהו', 'לא', 'לחגוג', 'יום', 'קבוע', 'עיצוב', 'פעמים', 'ונחזור', 'התן', 'שהזמנתי)', 'למופעי', 'נישואין', 'של', 'פינוקים', 'שוב', 'מקרר', 'דודי', 'וממליצה', 'כפרי/', 'הייתי', 'מאוד', 'שונים', 'אדירה', 'בתקופה', 'השבוע', 'באמצע', 'מסעדה', '5', 'מפתיעים', 'בסוגים', 'קדם', 'והצוות', 'ישון', 'גם', 'מהם', 'ברצף', 'מעושן', '4', 'זה', '(כמו', 'רק', 'כוכבים', 'היינו', 'גאז', 'יפה', 'ברמה', 'הנפלא', 'אותי', 'אם', 'צסעדה', 'גבוהה', 'מנות', 'עישון', 'בגט', 'מדהימה', 'בערך', 'טעים'}","[32.8216043, 34.9639602]",0.0,0.146,229.172,1.562,21,43,5,6,2,27,סנדוויץ' בר,True
True,True,True,False,False,False,True,True,,False,True,True,,פיצה שמש,1.0,3.9,312,"[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 930]","[1110, 1380]",660.0,1380.0,False,"{'', 'הפיצה', 'תמיד', 'פטריות', 'לאחר', 'החזר', 'קרנאצ', 'תוספת', 'משמרת', 'שעה', 'היום', 'שביקשתי', 'בד""ץ', 'כמו', 'מרוצה', 'תקופה', 'פשוט', 'התשובה', 'הזמנתי', 'מדהים', 'נאמר', 'למקום', 'הגיע', 'כלל', 'גרוע', 'מזמינים', 'גרועה', 'כיף', 'כדי', 'נבאי', 'טעות', 'ממליצים', 'פיצה', 'עליכם', 'שחי', 'מנהל', 'עם', 'לי', 'ממש', 'משלוח', 'ואני', '45', 'קרה', 'מה', 'כפיצוי', 'שירות', 'לדבר', 'דק', 'ושיזכה', 'אין', 'מגיע', 'חיכיתי', 'למתחרים', 'דיכאונית', 'שום', 'גבינה', 'ביטלו', 'התבעסנו', 'מהפעם', 'בקיצור', 'על', 'הסברנו', 'לא', 'עשיתם', 'ומוכרת', 'יום', 'אצלם', 'לסניף', 'קפאו', 'היתה', 'הפיצוי', 'בדרך', 'רוצים', 'ממליצה', 'מדי', 'הייתה', 'בלי', 'והשירות', 'פעם', 'ובלי', 'עצמכם', 'של', 'את', '28/10', 'בזמן', 'ללא', 'מאוד', 'להחזיר', 'לאשראי', 'המנהל', 'כמובן', 'וגם', 'ששוחחתי', 'קבועה', 'אחרי', 'מאוכזבת', 'אכלתי', 'הזמנו', 'לעשות', 'ואלך', 'ביקשנו', 'התקשרנו', 'שרציתי', 'שאנחנו', 'במשך', 'מבחנתי', 'ישר', 'אהבתי', 'ברקע', 'דמי', 'עד', 'הסוף', 'הראשונה', 'מזכה', 'וההיתי', 'העיסקה', 'מעט', 'אמליץ', 'שזה', 'ונתנו', 'בדיוק', 'גם', 'תכבדו', 'מוזיקה', 'פיצוי', 'שמש', 'ולא', 'כלקוחה', 'חזרה', 'וחצי', 'ולקבל', 'שמו', 'זה', 'בחיפה)', 'באיסוף', 'שלומי', 'באותו', 'הרבה', 'לו', 'אוכל', 'יותר', 'אנחנו', '(אין', 'איתם', 'מגיעים', 'עצמי', 'האשראי', 'להזמין', 'מהמקום', 'המקום', 'טעים', 'שלכם'}","[32.8216664, 34.9641377]",0.0,0.146,229.172,1.562,21,42,5,6,2,26,,
True,True,True,True,False,False,True,True,True,True,True,True,True,Shrimps House,2.0,4.3,2334,"[720, 1020]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]",720.0,1260.0,True,"{'מקום', '', 'טובה', 'תמיד', 'יש', 'פטריות', 'סוגי', 'בשבת', 'מנת', 'בחום', 'הוכן', ')', 'כטבעוני', 'יקר', '+', 'תוספת', 'שמנת', 'אולי', 'מצאנו', 'סבבה', 'חנייה', 'הזדמנות', 'בכל', 'שנים', 'יצא', 'שהיה', 'גדולות', 'בעיית', 'ימי', 'חיך', 'שם', 'אליהו', 'הראשי', 'שבערב', 'מול', 'השלט', 'החרוכות', '/', 'ומשביעות', 'בחוץ', 'לנו', 'בפנים', 'לפני', 'מנה', 'הבית', 'ובחוץ', 'ושתייה', 'ענוגות', 'בפתיח', '-', 'ילדים', 'עדיף', 'להעניק', 'נהנתה', 'שרות', 'המפנק', 'מאכליי', 'בציפוי', 'סטייל', 'המחיר', 'למערת', 'למצוא', 'בתוספת', 'עיקרית', 'אחלה', 'הפיתות', 'הסלטים', 'הגענו', 'סלטים', 'פחות', 'ולבדוק', 'החלטתי', 'עם', 'ישיבה', 'קצת', 'המחירים', 'למסעדות', 'נראה', 'אישתי', 'ממש', 'מאד', 'ואני', 'נחמד', 'די', 'מה', 'אבל', 'רצוי', 'נפתח', 'שרימפסים', 'ברוטב', 'בכביש', 'חצאי', 'הזדמנתם', 'בד""כ', 'בתנור', '(', 'להגיע', 'אין', 'אני', 'לשם', 'שום', 'מחיר', 'לאישתי', 'גריל', 'קטנטן', 'על', 'שלהם', 'לא', 'כי', 'טעימות', 'היתה', 'אחרות', 'החצילים', 'מרווח', 'נראית', 'ממליצה', 'וקלמרי', 'קשה', 'שיום', 'יבוא', 'מערתי', 'ושנים', 'טעימים', 'פעם', 'מסעירת', 'ש""ח', 'בשמנת', 'שנמצאת', 'את', 'מבוגרים', 'חובבת', 'ממליץ', 'טוב', 'מאוד', 'שנייה', 'זולים', 'ליד', 'ויש', 'בצהריים', 'מחנים', '2', 'הים', 'סביר', 'ביחס', 'בקרבת', 'מבחר', 'אכלתי', 'ותהיה', 'חזה', 'מסתבר', 'לחלל', 'מגישים', 'עוף', 'שאנחנו', 'עוברים', 'ורואה', 'מסעדה', 'התורן', 'מסורתיים', 'בטוחה', 'בחמאה', 'בתחילת', 'והירקות', 'הכביש', 'רחוק', 'האש', 'כבר', 'מהשרימפסים', 'מלא', 'מגוון', 'אכלנו', 'ים', 'הארוחה', 'חלקם', 'צ׳יפס(', 'הפעם', 'כהומאג׳', 'בהחלט', 'מטוגנים', 'ולא', 'מקומות', 'נעים', 'כן', 'לפירות', 'חוויה', 'עובר', 'מראש', 'היה', 'כאילו', 'החומוס', 'יכולה', 'מבפנים', 'רק', 'להיכנס', 'לעצור', 'העוגן', 'בתור', 'רואים', 'לרחוב', 'לבקר', 'שאני', 'בטירוף', 'לחניה', 'אוכל', 'מצויין', 'לסועד', 'אם', '7', 'מבטיח', 'המנות', 'שהרבה', 'קלה', 'סבירים', 'שרימפס', 'המסעדה', 'ומתובלות', 'ופיתות', 'להזמין', 'מנות', 'במיוחד', '91', 'מבחוץ', 'המקום', 'טעים', 'המדרכה'}","[32.8294968, 34.964408]",0.0,0.03,89.436,0.616,1,9,1,3,1,11,,
True,True,,True,False,False,True,True,,True,True,,True,הַכְּנוּפְיָה - כנאפה עד הבית בחיפה,,4.2,80,"[1020, 1500]","[1020, 1500]","[1020, 1500]","[1020, 1500]","[1020, 1560]","[720, 1560]","[720, 1560]",1020.0,1512.0,True,"{'', 'לרמה', 'בסוכר', 'בחום', 'יקר', 'תוספת', 'הנחה', 'מרבע', 'שעה', 'שעתיים', 'פשוט', 'סופר', '50%', 'להפליא', 'בשילוב', 'שלצערי', 'אוהבת', 'שעשה', 'שאפשר', 'בראשששששששש', 'הגיע', 'הוא', 'נפלאה', 'לנו', 'מנה', 'וביטלנו', 'הכללית', '-', 'וכשמוצר', 'לגמרי', 'חמורה', 'בצד)', 'הכנפה', 'החוויה', 'פחות', 'קצת', 'לי', 'עם', 'אישתי', 'שאכלתי', 'ממש', 'הכנאפה', 'הטעימים', 'בחור', 'אחד', 'משלוח', 'כולם', 'המתוק', 'הוקלדה', 'מה', 'הזמנה', 'אבל', 'מההזמנה', 'שירות', 'עוד', 'לדאוג', 'אני', 'מגיע', 'הקיצוני', 'ואיכותי', 'כנאפה', 'נדיר', 'מדויקת', 'על', 'הפיסטוק', 'לא', 'מעל', 'קסם', 'גלידת', 'כשטעים', 'ממליצה', 'בלי', 'הייתה', 'של', 'מגניב', 'תוך', 'בפה', 'כל', 'טוב', 'עיוור', 'by', 'ועפה', 'אחרי', 'farrr', 'נותן', 'הזמנו', 'במשלוח', 'נמס', 'הראשונה', 'עדיין', 'תקלת', 'הזה', 'והכנאפה', 'מומלץ', 'כבר', 'הגלידה', 'גם', 'קיבלנו', '(לאוהבי', 'מהם', 'פיצוי', 'טובע', 'הכי', 'מראש', 'ההזמנה', 'זה', 'וקריספי', 'גדולה', 'למחיר', 'לעוף', 'בטירוף', 'מצויין', 'סיפוק', 'מהר', 'חם', 'שהופך', ':)', 'ונותן', 'להזמין', 'במיוחד', 'אותו', 'מתוק', 'הקונספט', 'טעים', 'העיבה'}","[32.8182747, 34.9621385]",0.0,0.146,229.172,1.562,1,50,0,8,2,36,,
True,,,False,False,False,True,True,,False,True,,,RedSunset,,5.0,2,"[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]",1020.0,1320.0,True,"{'', 'ליד', 'מטבח', 'לבקר', 'מקסיקני', 'בשקיעה', 'הים', 'מומלץ'}","[32.8312347, 34.966192]",0.0,0.162,418.0,3.0,0,2,1,7,1,12,,
True,,,,,,True,True,,,,,,Falafel Gordon #1FoodTruck,,4.8,15,,,,,,,,,,,"{'', 'גם', 'ומבדר', 'תוספת', 'במקום', 'ממליץ', 'עם', 'טוב', 'מאוד', 'לשלם', 'באופן', 'וחם', 'ממש', 'ביותר', 'עצמו', 'בצורה', 'כולל', 'סחוט', 'ופלאפל', 'תפוזים', 'במציות', 'הים', 'שירות', 'אישי', 'פלאפל', 'יפה', 'כיפית', 'אווירה', 'אני', 'לייק', 'מחזרת', 'במיץ', 'מוגש', 'מוצלח', 'ספת', 'ומלווה', 'טרי', 'על', 'אחי', 'נקי', 'במיוחד', 'בביט', 'אפשר', 'מיקום', 'חריפות', 'טעים', 'שכזאת', 'מומלץ'}","[32.8312347, 34.966192]",0.0,0.162,418.0,3.0,0,2,1,7,1,12,,
