dine_in,delivery,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup,name,price_level,sunday_activity_hours,monday_activity_hours,tuesday_activity_hours,wednesday_activity_hours,thursday_activity_hours,friday_activity_hours,saturday_activity_hours,open_activity_hour,close_activity_hour,open_on_saturday,reviews,geo_location,percent of religious,socio-economic index value,socio-economic rank,socio-economic cluster,store_100,store_500,rest_100,rest_500,bus_station_100,bus_station_500,type,kosher,grade
True,,,,,,True,True,,,True,,,דב הים juicy bar שיקמונה,,,,,,,,,,,,"{'', 'בשקיעה', 'יל', 'שסידרו', 'מקום', 'מגוון', 'וליהנות', 'שש', 'גלידות', 'הכי', 'הטיילת', 'חטיפים', 'הקפה', 'השולחנות', 'ושייקים', 'ואווירה', 'אחרי', 'בכלל', 'מהבריזה', 'מוזיקה', 'של', 'אייד', 'תמיד', 'ישיבה', 'עם', 'אין', 'טובה', 'על', 'שייק', 'ואחרי', 'טוב', 'המוכר', 'פה', 'טעים', 'את', 'ושתייה', 'נחמדה', 'חמוד', 'נפלאה', 'בחיפה', 'וחצי', 'מסביב', 'זה', 'ומהים', 'מקובל', 'פונקציונלי', 'הדשא', 'פינת', 'ביותר', 'פירות', 'מקצועי', 'טיל', 'נוף', 'החדש', 'טריים', 'הטוב', 'יש', 'לצפות', 'ריצה', 'מיצים', 'החוף', 'בואו', 'הרצים', 'או', 'בבוקר', 'בשעה', 'קפה', 'לכם', 'המקום', 'פותח', 'להתרעננות', 'לים', 'השירות', 'באמצע', 'שייקים', 'בקיץ'}","[32.8252023, 34.9574889]",0.0,0.162,418.0,3.0,0,11,2,2,0,9,,,81.561
True,,,True,,,True,True,True,,True,True,True,סלמתרק - Salamtruck,2.0,,,,,,,,,,,"{'', 'הטעם', 'בשביל', 'הפתיחה', 'מובטחת', 'המיוחדים', 'ויצאנו', 'טעים', 'לקח', 'התפוח', 'וספסלים', 'במרקם', 'סלמתק', 'הדשא', 'חלק', 'דלהי', 'קוקוס', 'העיר', '17:00', 'ששטף', 'שבעים', 'ובריאה', 'וכרובית', 'עליי', 'עוד', '20:00', 'שורפת', 'נימוחות', 'מאד', 'חמישי', 'להציע', 'בסך', 'שרות', 'אציין', 'מרק', 'וגרידת', 'תוצרת', 'מביניהם)', 'תפל', 'מפוזרים', 'כל', 'פי', 'עם', 'ולאכול', '21:00', 'שהיא', 'מנת', 'כמו', 'האורז', 'לימון', 'המנות', 'ומומלצת:)', 'מבחר', 'ניחוחות', 'סָלַמְתְרָק', 'ים', 'מסעדה', 'לנו', 'החדש', 'ממוקמים', 'או', 'התפריט', 'קודם', 'שהיה', 'ללכת', 'המקומות', 'הים', 'של', 'שוקו', 'מה', 'בה', 'שזה', 'הגיעה', 'בחיפה', 'לו', 'וחזק', 'צמחוני', 'תמצאו', 'יכלתי', 'חוץ', 'כוס', 'ועוד', 'שוקלד', 'מהטרנד', 'על', 'חריף', 'יד', 'החריפות', '-', 'אוכל', 'והמלאי', 'הקינוחים', 'יכול', 'קורמה', 'לא', 'שכיף', 'רוטב', 'ספסלים', 'קרם', 'רך', 'נכנס', 'להנות', 'להגיע', 'יפה', 'שיש', 'מעולות', 'שהמחיר', 'גם', 'יום', 'העיקרון', 'המאפה', 'מתמרים', 'תענוג', 'לבדוק', 'כללי', 'מרגיש', 'עצמו', 'אחד', 'סך', 'מנה', 'אהבתי', 'בקיצור', 'בין', 'ביחד', 'עד', 'דלעת', 'ולאלה', 'להתאפק', 'בשני', 'בכלל)', 'לחובבי', 'שמש', 'טיילת', 'מידי', 'ומרוצים', 'בו', 'ימים', 'שישי', 'תפוחי', 'טיפה', 'מעולה', 'הסמוסה', 'דבר', 'לכן', 'במנות', 'אמליץ', 'לגודל', 'טבעוני', 'מנעמים', 'שכל', 'היה', 'לחוף', 'אוכלים', 'שלא', 'יומי', 'עגלת', 'התיבול', 'עבודת', 'שקשה', 'מוצלח', 'אחלה', 'הרגיש', 'האוכל', 'לימוני', 'וואו', 'ארטיק', 'כמוני', 'ומומבאי', 'להיות', 'בחום', 'מאכזב', 'מנות', 'מבחינת', 'זו', 'ולא', 'איזה', 'ניו', 'מיקום', 'ובטח', 'אדמה', 'כייף', 'הוא', 'האהודה', 'פוד', 'ולקינוח', 'אז', 'אבל', 'מילוי', '12:00', 'בסיסי', 'התחלנו', 'מעט', 'איתן', 'מתחלף', 'בפה', 'כיפית', 'משקה', 'בחירה', 'אומנם', 'אניני', 'באותו', 'גבוה', 'סלט', 'אדיב', 'נגמר', 'השלישי', 'והחלטנו', 'ופינה', 'לבקש', 'השווים', 'את', 'בזמן', 'הסלט', 'ליד', 'קשיו', 'קּולְפִי', 'הזמנו', 'בצק', 'המקום', 'הייתה', 'ומצומצם', 'צמוד', 'מקום', ""הווג'י"", 'בורקס', 'פתוח', 'ברוטב', 'שזוכה', 'סלמתרק', 'בסולם', 'ושעועית', 'לערבב', 'בירקות', 'אך', 'טעם', 'בציפוי', 'שונות', 'המחירים', 'לשמוע', 'הודי', 'חרפרפה', 'הכל', 'מומלצות', 'בל', 'מזור', 'ושבת', 'דוסה', 'עליו', 'עשירה', 'טעימה', 'לאכול', 'הפחות', 'ממליץ', 'טראק', 'מסאלה', 'מקומית', 'שהבאתם', 'לחלוטין', 'אגוזים', 'שמחנו', 'כי', 'המיקום', 'סופר', 'בנדיבות', ""מהצ'אטני"", 'הרכיבים', 'מוותר', 'זה', 'חזק', 'פשוט', 'דל', 'פורי', 'קצת', 'אוכלת', 'מאוכל', 'בדיוק', 'במילוי', 'מול', 'חוויה', 'ארוחה', 'דמוי', 'אפשר', '(ואני', 'מזנון', 'שלוש', 'כן', 'תבשיל', 'חיות', 'אותו', 'מומלץ', 'באופן', 'מאוד', 'לימונדת', 'לתפריט', 'טעימים', 'ההודי', 'אחריו', 'ואגמים', 'הרגישו', 'היביסקוס', 'למי', 'סמיך', 'למרות', '–', 'למכון', 'שולחנות', 'שעות', 'משעה', 'נעימה', 'עשיר', 'וגם', 'לבד', 'לחקר', 'אחת', 'ממש', 'שיקמונה', 'מדהים', '(המוקדם', 'שהאוכל', 'כופתא', 'שלו', 'ואגוזים', 'לשבת', '5', 'להאמין', 'טריים', 'עוגיות', 'שישה', 'מעל', 'הייתי', 'סבירים', 'זוג'}","[32.8256705, 34.9579041]",0.0,0.162,418.0,3.0,0,11,2,2,0,10,,,86.235
True,True,True,False,False,False,True,True,,False,True,,True,קראנץ' פיצה,1.0,"[690, 1470]","[690, 1470]","[690, 1470]","[690, 1470]","[690, 1470]","[660, 900]","[1110, 1470]",690.0,1470.0,False,"{'', 'ולכו', 'צוות', 'אחרי', 'תוספות', 'הזמנה', 'אני', 'אזמין', 'נחמדה', 'לא', 'זה', 'כיף', 'לגמרי', 'סבירה', 'ואף', 'מגיע', 'בצל', 'שלקחנו', 'המילוי', 'שיש', 'יותר', 'מחיר', 'ללא', 'מהם', 'פושרת', 'שירות', 'פיצה', 'עד', 'סבבה', 'את', 'וטרי', 'מומלץ', 'שכבר', 'מאוד', 'וזיתים', 'חם', 'שהשירות', 'מביאים', 'בהזמנות', 'שמבקשים', 'הבית', 'מענה', 'חפשו', 'הכי', 'בילבולים', 'שנקרא', 'מזעזע', 'מזה', 'גבינה', 'יודעות', 'רטבים', 'ילדות', 'יבשה', 'עם', 'למרות', 'שלא', 'וכמעט', 'כספם', 'במקום', 'נחמד', 'עשינו', 'קיבלו', 'נותן', 'בפרט', 'של', 'פעם', 'הפיצה', 'לענות', 'מה', 'שבטוח', 'הגיעה', 'בחיפה', 'מאכזב', 'טעימה', 'לאכול', 'ושירות', 'במסגרת'}","[32.8214534, 34.963784]",0.0,0.146,229.172,1.562,20,43,5,6,1,26,פיצריות,False,79.644
True,True,True,False,False,False,True,True,,False,True,,False,פיצה סטורי רמת שאול חיפה,1.0,"[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 930]","[1050, 1380]",660.0,1380.0,True,"{'', 'שהנושא', 'ל14', 'פיצות', 'בחצי', 'אבל', 'צוות', 'אחרי', 'קרה', '6', 'בפועל', 'טענו', 'בבדיקה', 'אנשי', 'של', 'עברה', 'פיצו', 'הפיצה', 'משהו', 'ממש', 'פיצה', 'טעים', '4', 'ויחזרו', 'מדא', 'זול', 'לא', 'נמצא', 'למחיר', 'הגיעה', 'סביר', 'לשעה', 'דיברו', 'מאז', 'איתנו', 'היום', 'חצי', 'ורבע', 'למרחק', 'הגיעו', 'ו25', 'טעימה', 'הסניף', 'ב18', '5', 'סגור', 'ולא', 'ושווה', 'מהסניף', 'שעה', 'משלוחים', 'בתוספות', 'שעברה', 'הפיצות', 'שמתחייבים', 'דקות', 'או', 'במשלוח', 'דליל', 'יחסית', 'הזמנו', 'אמרו', 'אלינו', 'איחרו', 'מתקמצנים'}","[32.8216218, 34.9639689]",0.0,0.146,229.172,1.562,21,43,5,6,2,27,פיצריות,False,54.807
True,,True,True,False,False,True,True,,True,True,,,דודא,,"[690, 1500]","[690, 1500]","[690, 1500]","[690, 1500]","[690, 1500]","[600, 1020]","[-1, -1]",690.0,1500.0,False,"{'', 'לי', 'גאז', 'נישואין', 'בעלי', 'למופעי', 'מקרר', 'מפתיעים', 'שף', 'טעים', 'לא', 'מיוחד', 'בתקופה', 'זה', 'בגט', 'גבוהה', 'בערך', 'ברצף', 'יפה', 'ישון', 'גם', 'יום', 'אם', ""ג'בטה"", 'היינו', 'מהם', 'היו', 'מסעדת', 'שירות', 'בשרים', 'מזמין', '4', 'פעמים', 'ומעניין', 'ונחזור', 'בחמישי', 'בוקרים', 'ביותר', 'מאוד', 'שוב', 'מביאים', 'קבוע', 'מדהימה', 'עיצוב', 'העיצוב', 'שונים', 'התן', 'מקבלים', 'מעוצבת', 'לחגוג', 'שלנו', 'עם', '(כמו', 'קדם', 'הזמין', 'כמו', 'נחזור', 'פינוקים', 'מסעדה', 'מטבח', 'במקום', 'ברמה', 'רק', 'שהזמנתי)', 'השף', 'בסוגים', 'בשר', 'ביס', 'מעושן', 'אהבנו', 'של', 'כוכבים', 'כפרי/', 'משהו', 'ומיוחד', 'שירותיים', 'עישון', 'ראיתי', 'צסעדה', 'בחום', 'אדירה', 'מנות', 'השבוע', 'הנפלא', 'רמה', '5', 'וממליצה', 'מוזיאון', 'והצוות', 'שווה', 'דודי', 'אותי', 'שלי', 'כמה', 'הייתי', 'באמצע'}","[32.8216043, 34.9639602]",0.0,0.146,229.172,1.562,21,43,5,6,2,27,סנדוויץ' בר,True,77.432
True,True,True,False,False,False,True,True,,False,True,True,,פיצה שמש,1.0,"[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 1380]","[660, 930]","[1110, 1380]",660.0,1380.0,False,"{'', 'לי', 'תוספת', 'שאנחנו', 'לדבר', 'אוכל', 'ושיזכה', 'אחרי', 'מוזיקה', 'מעט', 'הפיצוי', 'לעשות', 'להזמין', 'טעים', 'לא', 'התשובה', 'זה', 'ואני', 'כיף', 'פשוט', 'ישר', 'מהפעם', 'מגיע', 'כפיצוי', 'באותו', 'הסברנו', 'שעה', 'התקשרנו', 'פטריות', 'גם', 'יום', 'יותר', 'מרוצה', 'בדיוק', 'דמי', 'עליכם', 'קרנאצ', 'התבעסנו', 'משמרת', 'ללא', 'וההיתי', 'אנחנו', 'תקופה', 'בדרך', 'עשיתם', 'מזמינים', 'קרה', 'ששוחחתי', 'כדי', 'מנהל', 'תמיד', 'ממליצים', 'מזכה', 'אכלתי', 'העיסקה', 'שירות', 'ביקשנו', 'ביטלו', 'במשך', 'אהבתי', 'האשראי', 'בקיצור', 'פיצה', 'עצמי', 'בחיפה)', 'עד', 'הגיע', 'את', 'כלקוחה', 'טעות', 'משלוח', 'וחצי', 'בזמן', 'פיצוי', 'להחזיר', 'למקום', 'היום', 'מאוד', 'חיכיתי', 'לאשראי', 'ואלך', 'שמש', 'הזמנתי', 'הרבה', 'הזמנו', 'המקום', 'הסוף', 'הייתה', 'קפאו', 'מאוכזבת', 'שרציתי', 'גרועה', 'גבינה', 'שלכם', 'מהמקום', 'שביקשתי', 'עם', 'המנהל', 'איתם', 'אמליץ', 'שחי', 'כמו', 'כלל', 'באיסוף', 'מבחנתי', 'חזרה', 'נבאי', 'היתה', 'מדי', 'שלומי', 'תכבדו', 'שמו', 'ברקע', 'רוצים', 'שום', '(אין', 'ומוכרת', 'וגם', 'אצלם', 'של', '45', 'פעם', 'הפיצה', 'אין', 'לאחר', 'ממש', 'החזר', 'מדהים', 'לסניף', 'מה', 'ונתנו', 'שזה', 'לו', 'ולקבל', 'ממליצה', 'מגיעים', 'דיכאונית', '28/10', 'והשירות', 'בד""ץ', 'ולא', 'ובלי', 'דק', 'בלי', 'הראשונה', 'נאמר', 'עצמכם', 'למתחרים', 'כמובן', 'גרוע', 'על', 'קבועה'}","[32.8216664, 34.9641377]",0.0,0.146,229.172,1.562,21,42,5,6,2,26,,,78.505
True,True,True,True,False,False,True,True,True,True,True,True,True,Shrimps House,2.0,"[720, 1020]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]","[720, 1320]",720.0,1260.0,True,"{'', 'מחנים', 'חנייה', 'האש', 'תוספת', 'שאנחנו', 'ויש', '/', 'אבל', '-', 'אוכל', 'מערתי', 'מסורתיים', 'מלא', 'שם', 'כי', 'אני', 'כאילו', 'למצוא', 'לעצור', 'לחניה', 'בחמאה', 'ומתובלות', 'להזמין', 'טעים', 'המפנק', 'לא', 'בתוספת', 'בטוחה', 'ופיתות', 'ואני', 'רואים', 'ורואה', 'ש""ח', 'הכביש', 'מבטיח', 'שיום', 'הגענו', 'קצת', 'להגיע', '2', 'למערת', 'הראשי', 'פטריות', 'ושנים', 'אולי', 'ומשביעות', 'אכלנו', 'מחיר', 'צ׳יפס(', 'לבקר', 'שאני', 'עוברים', 'החרוכות', 'אם', 'ימי', '(', 'שרימפס', 'בתור', 'די', 'חיך', 'סלטים', 'מול', 'שבערב', 'אחרות', 'חוויה', 'הזדמנתם', 'תמיד', 'אכלתי', 'מנה', 'בכל', 'קטנטן', 'מסעירת', 'עדיף', '+', 'אליהו', 'כן', 'עובר', 'את', 'בצהריים', 'טעימות', 'סבבה', 'מאד', 'המחיר', 'כטבעוני', '91', 'סביר', 'בחוץ', 'ליד', 'המסעדה', 'מטוגנים', 'ולבדוק', 'בפנים', 'מאוד', 'שרות', 'בד""כ', 'טעימים', 'חזה', 'נהנתה', 'הבית', 'טובה', 'המקום', 'בתחילת', 'בקרבת', 'למסעדות', 'השלט', 'מראש', 'מאכליי', 'ביחס', 'בשמנת', 'מקום', 'הארוחה', 'מצאנו', 'חלקם', 'שמנת', 'ילדים', 'ובחוץ', 'להעניק', 'יקר', 'התורן', 'ישיבה', 'עם', 'מגישים', 'יכולה', 'מנת', 'בטירוף', 'ברוטב', 'טוב', 'סטייל', 'שנמצאת', 'הזדמנות', 'ושתייה', 'יצא', 'מרווח', 'הסלטים', 'בכביש', 'סוגי', 'היה', 'יבוא', 'העוגן', 'המדרכה', 'המנות', 'הוכן', 'גדולות', 'מבחר', 'כבר', 'היתה', 'ים', 'מסעדה', 'לרחוב', 'לנו', 'נראה', '7', 'לפני', 'לפירות', 'גריל', 'זולים', 'יש', 'נחמד', 'החלטתי', 'עיקרית', 'רק', 'שום', 'נראית', 'שנים', 'שלהם', 'אישתי', 'וקלמרי', ')', 'בציפוי', 'שהיה', 'לסועד', 'בפתיח', 'קשה', 'מגוון', 'אחלה', 'הפיתות', 'המחירים', 'והירקות', 'מבפנים', 'החומוס', 'הים', 'מבחוץ', 'שנייה', 'פעם', 'אין', 'ממש', 'החצילים', 'בעיית', 'מבוגרים', 'מה', 'במיוחד', 'שהרבה', 'נפתח', 'מצויין', 'להיכנס', 'שרימפסים', 'חצאי', 'בשבת', 'בחום', 'ותהיה', 'לחלל', 'מנות', 'ממליצה', 'עוף', 'רחוק', 'בתנור', 'פחות', 'בהחלט', 'הפעם', 'מסתבר', 'לשם', 'ולא', 'כהומאג׳', 'מהשרימפסים', 'קלה', 'נעים', 'לאישתי', 'ממליץ', 'רצוי', 'ענוגות', 'חובבת', 'סבירים', 'מקומות', 'על'}","[32.8294968, 34.964408]",0.0,0.03,89.436,0.616,1,9,1,3,1,11,,,87.251
True,True,,True,False,False,True,True,,True,True,,True,הַכְּנוּפְיָה - כנאפה עד הבית בחיפה,,"[1020, 1500]","[1020, 1500]","[1020, 1500]","[1020, 1500]","[1020, 1560]","[720, 1560]","[720, 1560]",1020.0,1512.0,True,"{'', 'לי', 'תוספת', 'ואיכותי', '-', 'אבל', 'אחרי', 'הזמנה', 'לרמה', 'אני', 'עדיין', 'שאפשר', 'שעשה', 'בפה', 'סופר', 'וכשמוצר', ':)', 'להזמין', 'טעים', 'לא', 'זה', '(לאוהבי', 'פשוט', 'לגמרי', 'הנחה', 'מגיע', 'לעוף', 'מתוק', 'מהר', 'שעה', 'קצת', 'גלידת', 'גם', 'וקריספי', 'ועפה', 'כשטעים', '50%', 'ונותן', 'מהם', 'הוקלדה', 'והכנאפה', 'מגניב', 'אחד', 'גדולה', 'עוד', 'מנה', 'שירות', 'כולם', 'הגיע', 'נפלאה', 'טובע', 'משלוח', 'אותו', 'פיצוי', 'חמורה', 'מומלץ', 'חם', 'by', 'הכנפה', 'הגלידה', 'הזמנו', 'מראש', 'הייתה', 'הכי', 'וביטלנו', 'כל', 'בחור', 'עיוור', 'יקר', 'הפיסטוק', 'לדאוג', 'עם', 'מרבע', 'הקונספט', 'העיבה', 'נמס', 'טוב', 'בטירוף', 'המתוק', 'הכללית', 'הטעימים', 'כבר', 'לנו', 'הקיצוני', 'מדויקת', 'שלצערי', 'שעתיים', 'מההזמנה', 'בראשששששששש', 'הכנאפה', 'במשלוח', 'סיפוק', 'אישתי', 'תקלת', 'בסוכר', 'שאכלתי', 'קסם', 'תוך', 'ההזמנה', 'החוויה', 'נותן', 'farrr', 'כנאפה', 'של', 'נדיר', 'קיבלנו', 'ממש', 'מה', 'במיוחד', 'מצויין', 'אוהבת', 'למחיר', 'בחום', 'ממליצה', 'פחות', 'בצד)', 'בלי', 'הזה', 'בשילוב', 'הראשונה', 'שהופך', 'מעל', 'להפליא', 'הוא', 'על'}","[32.8182747, 34.9621385]",0.0,0.146,229.172,1.562,1,50,0,8,2,36,,,81.501
True,,,False,False,False,True,True,,False,True,,,RedSunset,,"[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]","[1020, 1320]",1020.0,1320.0,True,"{'מקסיקני', '', 'בשקיעה', 'ליד', 'מומלץ', 'לבקר', 'מטבח', 'הים'}","[32.8312347, 34.966192]",0.0,0.162,418.0,3.0,0,2,1,7,1,12,,,87.474
True,,,,,,True,True,,,,,,Falafel Gordon #1FoodTruck,,,,,,,,,,,,"{'', 'תוספת', 'וחם', 'מוצלח', 'ומלווה', 'ופלאפל', 'חריפות', 'מחזרת', 'הים', 'עצמו', 'אני', 'לשלם', 'עם', 'אפשר', 'לייק', 'שירות', 'כיפית', 'ממש', 'בצורה', 'פלאפל', 'מוגש', 'טוב', 'טעים', 'במיוחד', 'ומבדר', 'תפוזים', 'אווירה', 'אישי', 'ספת', 'כולל', 'נקי', 'ביותר', 'מומלץ', 'באופן', 'במציות', 'מאוד', 'אחי', 'שכזאת', 'במקום', 'מיקום', 'בביט', 'ממליץ', 'יפה', 'סחוט', 'גם', 'במיץ', 'על', 'טרי'}","[32.8312347, 34.966192]",0.0,0.162,418.0,3.0,0,2,1,7,1,12,,,88.507
