station_id,geo_location
1148,"{'lat': 32.810536, 'lng': 34.988662}"
1132,"{'lat': 32.808374, 'lng': 34.992409}"
1117,"{'lat': 32.797878, 'lng': 35.016909}"
1137,"{'lat': 32.784288, 'lng': 35.024268}"
1147,"{'lat': 32.806383, 'lng': 34.991443}"
1389,"{'lat': 32.796116, 'lng': 35.01824}"
1384,"{'lat': 32.821022, 'lng': 34.966299}"
1395,"{'lat': 32.782721, 'lng': 35.025221}"
1398,"{'lat': 32.821263, 'lng': 34.991634}"
1400,"{'lat': 32.813954, 'lng': 35.001792}"
1403,"{'lat': 32.816327, 'lng': 34.97857}"
1405,"{'lat': 32.821388, 'lng': 34.971612}"
1408,"{'lat': 32.777394, 'lng': 35.012348}"
2313,"{'lat': 32.808702, 'lng': 34.959475}"
2312,"{'lat': 32.806044, 'lng': 34.96361}"
2504,"{'lat': 32.816312, 'lng': 34.98019}"
2661,"{'lat': 32.77516, 'lng': 35.007867}"
2505,"{'lat': 32.795463, 'lng': 35.015467}"
2863,"{'lat': 32.775344, 'lng': 35.002504}"
262,"{'lat': 32.783762, 'lng': 35.024043}"
1530,"{'lat': 32.808515, 'lng': 34.962201}"
1387,"{'lat': 32.783007, 'lng': 35.023681}"
10929,"{'lat': 32.827746, 'lng': 34.973801}"
10931,"{'lat': 32.795387, 'lng': 35.013215}"
10964,"{'lat': 32.813444, 'lng': 34.977835}"
11057,"{'lat': 32.813617, 'lng': 34.976769}"
11076,"{'lat': 32.787382, 'lng': 35.016536}"
11084,"{'lat': 32.776667, 'lng': 35.004649}"
11086,"{'lat': 32.779495, 'lng': 35.003491}"
11093,"{'lat': 32.796023, 'lng': 35.014411}"
11096,"{'lat': 32.801784, 'lng': 34.983475}"
11099,"{'lat': 32.795163, 'lng': 34.998103}"
11117,"{'lat': 32.796312, 'lng': 34.978921}"
11118,"{'lat': 32.796988, 'lng': 34.973678}"
11119,"{'lat': 32.794849, 'lng': 34.976114}"
11122,"{'lat': 32.801112, 'lng': 34.985362}"
11123,"{'lat': 32.782661, 'lng': 35.008563}"
11124,"{'lat': 32.78561, 'lng': 35.007794}"
11142,"{'lat': 32.795895, 'lng': 35.010383}"
11144,"{'lat': 32.789215, 'lng': 35.013425}"
11146,"{'lat': 32.767988, 'lng': 35.001693}"
11147,"{'lat': 32.768193, 'lng': 34.999166}"
11149,"{'lat': 32.766372, 'lng': 35.00118}"
11152,"{'lat': 32.766836, 'lng': 34.981106}"
11166,"{'lat': 32.775416, 'lng': 34.993709}"
11171,"{'lat': 32.779945, 'lng': 34.996595}"
11172,"{'lat': 32.781569, 'lng': 34.99501}"
11191,"{'lat': 32.81756, 'lng': 35.07135}"
11211,"{'lat': 32.794757, 'lng': 34.97716}"
11212,"{'lat': 32.817255, 'lng': 34.967462}"
11220,"{'lat': 32.82196, 'lng': 34.964836}"
11221,"{'lat': 32.81984, 'lng': 34.98441}"
11223,"{'lat': 32.807712, 'lng': 34.994011}"
11226,"{'lat': 32.818928, 'lng': 34.98809}"
10691,"{'lat': 32.796259, 'lng': 34.990208}"
10693,"{'lat': 32.79615, 'lng': 34.988826}"
10736,"{'lat': 32.804876, 'lng': 34.973577}"
10742,"{'lat': 32.816104, 'lng': 34.964826}"
10749,"{'lat': 32.813246, 'lng': 34.966953}"
10770,"{'lat': 32.796326, 'lng': 34.978977}"
10772,"{'lat': 32.818456, 'lng': 34.989494}"
10775,"{'lat': 32.792611, 'lng': 34.989881}"
10776,"{'lat': 32.808616, 'lng': 34.991322}"
10781,"{'lat': 32.817567, 'lng': 34.99414}"
10782,"{'lat': 32.778894, 'lng': 34.986267}"
10784,"{'lat': 32.803917, 'lng': 35.000629}"
10806,"{'lat': 32.781658, 'lng': 34.989768}"
10807,"{'lat': 32.77665, 'lng': 34.990525}"
10808,"{'lat': 32.778353, 'lng': 34.991211}"
10893,"{'lat': 32.802049, 'lng': 35.002199}"
10684,"{'lat': 32.817354, 'lng': 34.956275}"
10685,"{'lat': 32.818593, 'lng': 34.957396}"
10690,"{'lat': 32.814563, 'lng': 34.956875}"
10702,"{'lat': 32.800875, 'lng': 35.000091}"
10705,"{'lat': 32.792924, 'lng': 34.991258}"
10714,"{'lat': 32.818829, 'lng': 34.991135}"
10721,"{'lat': 32.767658, 'lng': 34.996934}"
10722,"{'lat': 32.766882, 'lng': 34.993007}"
10731,"{'lat': 32.803369, 'lng': 34.97915}"
10735,"{'lat': 32.804058, 'lng': 34.974225}"
10741,"{'lat': 32.82798, 'lng': 34.978086}"
10745,"{'lat': 32.801472, 'lng': 34.979828}"
10747,"{'lat': 32.800648, 'lng': 34.983358}"
10748,"{'lat': 32.811386, 'lng': 34.968302}"
10771,"{'lat': 32.814043, 'lng': 34.991228}"
10780,"{'lat': 32.792576, 'lng': 34.987547}"
10783,"{'lat': 32.801687, 'lng': 35.002379}"
10786,"{'lat': 32.77962, 'lng': 34.981414}"
10787,"{'lat': 32.777962, 'lng': 34.983784}"
10789,"{'lat': 32.77802, 'lng': 34.985338}"
10791,"{'lat': 32.817857, 'lng': 34.982957}"
10796,"{'lat': 32.794157, 'lng': 35.020619}"
10799,"{'lat': 32.767037, 'lng': 34.9968}"
10826,"{'lat': 32.778902, 'lng': 34.986257}"
10839,"{'lat': 32.766863, 'lng': 34.985864}"
29902,"{'lat': 32.822487, 'lng': 34.994944}"
22816,"{'lat': 32.79522, 'lng': 35.020937}"
22957,"{'lat': 32.831159, 'lng': 34.967522}"
23147,"{'lat': 32.799997, 'lng': 35.00471}"
1382,"{'lat': 32.820481, 'lng': 34.958001}"
23182,"{'lat': 32.788088, 'lng': 34.957763}"
23183,"{'lat': 32.789367, 'lng': 34.958843}"
23185,"{'lat': 32.777542, 'lng': 35.030041}"
22512,"{'lat': 32.835549, 'lng': 35.06863}"
22511,"{'lat': 32.82903, 'lng': 34.963729}"
23041,"{'lat': 32.791391, 'lng': 35.00964}"
11406,"{'lat': 32.804741, 'lng': 35.000354}"
11407,"{'lat': 32.802566, 'lng': 35.000369}"
10675,"{'lat': 32.796723, 'lng': 35.019045}"
10659,"{'lat': 32.821366, 'lng': 34.971478}"
10671,"{'lat': 32.783568, 'lng': 34.99679}"
10897,"{'lat': 32.773304, 'lng': 35.012835}"
10909,"{'lat': 32.797746, 'lng': 35.014725}"
10912,"{'lat': 32.785057, 'lng': 35.00959}"
10914,"{'lat': 32.804774, 'lng': 34.970388}"
10934,"{'lat': 32.780701, 'lng': 35.000175}"
10937,"{'lat': 32.785342, 'lng': 34.992605}"
10950,"{'lat': 32.827806, 'lng': 34.985323}"
10956,"{'lat': 32.804369, 'lng': 35.001323}"
10958,"{'lat': 32.806769, 'lng': 35.001161}"
10971,"{'lat': 32.787871, 'lng': 35.014302}"
10977,"{'lat': 32.799217, 'lng': 35.014606}"
10989,"{'lat': 32.793011, 'lng': 34.996}"
10997,"{'lat': 32.794301, 'lng': 34.998609}"
11000,"{'lat': 32.784841, 'lng': 34.979507}"
11019,"{'lat': 32.793217, 'lng': 35.007487}"
11025,"{'lat': 32.799425, 'lng': 35.009302}"
10653,"{'lat': 32.779426, 'lng': 34.988217}"
10840,"{'lat': 32.794687, 'lng': 34.992828}"
10655,"{'lat': 32.784151, 'lng': 35.000058}"
10662,"{'lat': 32.777934, 'lng': 34.993652}"
10663,"{'lat': 32.776685, 'lng': 34.993951}"
11505,"{'lat': 32.794242, 'lng': 34.985384}"
29577,"{'lat': 32.826412, 'lng': 34.983548}"
29570,"{'lat': 32.810842, 'lng': 35.069553}"
29574,"{'lat': 32.810791, 'lng': 35.069965}"
29579,"{'lat': 32.807312, 'lng': 35.001646}"
29585,"{'lat': 32.80532, 'lng': 35.009197}"
31349,"{'lat': 32.802998, 'lng': 35.008744}"
31367,"{'lat': 32.829082, 'lng': 34.963298}"
31370,"{'lat': 32.801862, 'lng': 34.95995}"
31390,"{'lat': 32.828185, 'lng': 35.063038}"
31394,"{'lat': 32.80234, 'lng': 35.013674}"
31447,"{'lat': 32.824541, 'lng': 34.984383}"
29580,"{'lat': 32.804714, 'lng': 35.004461}"
31368,"{'lat': 32.822537, 'lng': 34.956813}"
31396,"{'lat': 32.803376, 'lng': 35.010891}"
31400,"{'lat': 32.821645, 'lng': 34.990739}"
31432,"{'lat': 32.836942, 'lng': 35.066519}"
10930,"{'lat': 32.785845, 'lng': 35.024466}"
10843,"{'lat': 32.785962, 'lng': 35.019031}"
10833,"{'lat': 32.792474, 'lng': 35.020633}"
10932,"{'lat': 32.793983, 'lng': 35.01512}"
10746,"{'lat': 32.80204, 'lng': 34.978109}"
10750,"{'lat': 32.793133, 'lng': 35.007699}"
10795,"{'lat': 32.8212, 'lng': 34.983866}"
10800,"{'lat': 32.837796, 'lng': 35.056541}"
10915,"{'lat': 32.802782, 'lng': 34.97389}"
10959,"{'lat': 32.805856, 'lng': 35.000762}"
27507,"{'lat': 32.78046, 'lng': 35.001898}"
30653,"{'lat': 32.786076, 'lng': 35.029823}"
30660,"{'lat': 32.788137, 'lng': 35.028237}"
27316,"{'lat': 32.78528, 'lng': 35.034342}"
27305,"{'lat': 32.785599, 'lng': 35.034349}"
30620,"{'lat': 32.786846, 'lng': 35.029369}"
30988,"{'lat': 32.822142, 'lng': 34.989247}"
31443,"{'lat': 32.823392, 'lng': 34.992595}"
27320,"{'lat': 32.790744, 'lng': 34.982604}"
11165,"{'lat': 32.785796, 'lng': 34.983099}"
10876,"{'lat': 32.809295, 'lng': 34.990362}"
3494,"{'lat': 32.78898, 'lng': 35.011598}"
5798,"{'lat': 32.79652, 'lng': 35.017779}"
11055,"{'lat': 32.764969, 'lng': 34.982743}"
161,"{'lat': 32.790996, 'lng': 34.964555}"
117,"{'lat': 32.82075, 'lng': 34.958932}"
138,"{'lat': 32.800888, 'lng': 34.981409}"
168,"{'lat': 32.818381, 'lng': 35.055154}"
119,"{'lat': 32.81997, 'lng': 34.967979}"
22953,"{'lat': 32.810554, 'lng': 35.001759}"
22949,"{'lat': 32.804254, 'lng': 35.009152}"
22940,"{'lat': 32.778257, 'lng': 35.016215}"
23180,"{'lat': 32.787454, 'lng': 34.960544}"
23184,"{'lat': 32.77738, 'lng': 35.03002}"
23188,"{'lat': 32.784602, 'lng': 35.026275}"
23190,"{'lat': 32.833181, 'lng': 34.987402}"
23196,"{'lat': 32.830808, 'lng': 34.985542}"
23204,"{'lat': 32.784069, 'lng': 35.015906}"
30992,"{'lat': 32.803701, 'lng': 34.987506}"
29867,"{'lat': 32.831486, 'lng': 35.063677}"
29875,"{'lat': 32.82404, 'lng': 35.058729}"
29878,"{'lat': 32.827409, 'lng': 35.062695}"
29879,"{'lat': 32.826643, 'lng': 35.060984}"
29894,"{'lat': 32.826826, 'lng': 34.983675}"
29907,"{'lat': 32.807199, 'lng': 35.061056}"
29921,"{'lat': 32.817811, 'lng': 35.076952}"
29924,"{'lat': 32.807473, 'lng': 35.001121}"
29927,"{'lat': 32.807425, 'lng': 35.008139}"
29933,"{'lat': 32.837101, 'lng': 35.066703}"
29946,"{'lat': 32.804705, 'lng': 35.003251}"
1382,"{'lat': 32.820481, 'lng': 34.958001}"
27311,"{'lat': 32.78935, 'lng': 34.984803}"
30656,"{'lat': 32.788199, 'lng': 35.028335}"
27535,"{'lat': 32.780328, 'lng': 35.002129}"
30979,"{'lat': 32.821536, 'lng': 34.997088}"
30985,"{'lat': 32.817201, 'lng': 35.002301}"
2501,"{'lat': 32.814452, 'lng': 34.985669}"
11494,"{'lat': 32.779961, 'lng': 34.992225}"
10908,"{'lat': 32.779868, 'lng': 34.980526}"
11049,"{'lat': 32.788598, 'lng': 35.015547}"
11026,"{'lat': 32.81829, 'lng': 34.970726}"
11225,"{'lat': 32.827804, 'lng': 34.984682}"
11048,"{'lat': 32.832169, 'lng': 34.978779}"
10892,"{'lat': 32.80385, 'lng': 35.000753}"
11002,"{'lat': 32.78485, 'lng': 34.979672}"
4389,"{'lat': 32.818964, 'lng': 35.074677}"
4395,"{'lat': 32.810509, 'lng': 34.959562}"
4397,"{'lat': 32.783628, 'lng': 35.024196}"
1694,"{'lat': 32.807116, 'lng': 34.985906}"
1807,"{'lat': 32.774819, 'lng': 35.013795}"
1819,"{'lat': 32.790326, 'lng': 35.000164}"
1820,"{'lat': 32.820407, 'lng': 34.967698}"
1821,"{'lat': 32.790327, 'lng': 34.999994}"
1145,"{'lat': 32.818557, 'lng': 34.997659}"
3300,"{'lat': 32.803464, 'lng': 35.010326}"
3242,"{'lat': 32.785072, 'lng': 34.967952}"
3251,"{'lat': 32.772064, 'lng': 35.003754}"
3298,"{'lat': 32.776033, 'lng': 35.01386}"
27304,"{'lat': 32.791497, 'lng': 34.983549}"
30983,"{'lat': 32.808184, 'lng': 35.029894}"
29578,"{'lat': 32.809311, 'lng': 35.006883}"
29581,"{'lat': 32.808136, 'lng': 35.001548}"
29583,"{'lat': 32.813519, 'lng': 35.003303}"
29590,"{'lat': 32.823254, 'lng': 34.992507}"
30993,"{'lat': 32.810497, 'lng': 35.004328}"
31441,"{'lat': 32.817959, 'lng': 35.000231}"
29386,"{'lat': 32.809598, 'lng': 35.009832}"
1506,"{'lat': 32.796194, 'lng': 35.016229}"
2164,"{'lat': 32.835508, 'lng': 35.061892}"
5794,"{'lat': 32.78698, 'lng': 35.015063}"
5795,"{'lat': 32.790523, 'lng': 35.013784}"
5796,"{'lat': 32.792795, 'lng': 35.011881}"
5797,"{'lat': 32.791879, 'lng': 35.012955}"
5827,"{'lat': 32.809276, 'lng': 34.963291}"
6044,"{'lat': 32.76732, 'lng': 35.014376}"
13747,"{'lat': 32.782419, 'lng': 34.963}"
13781,"{'lat': 32.798883, 'lng': 34.967132}"
13782,"{'lat': 32.802535, 'lng': 34.966912}"
13790,"{'lat': 32.820732, 'lng': 35.062455}"
13793,"{'lat': 32.794362, 'lng': 34.965533}"
13795,"{'lat': 32.806305, 'lng': 35.038694}"
13803,"{'lat': 32.818421, 'lng': 34.958711}"
11083,"{'lat': 32.776036, 'lng': 35.005847}"
11239,"{'lat': 32.834689, 'lng': 35.061173}"
11228,"{'lat': 32.799452, 'lng': 35.001972}"
11517,"{'lat': 32.783336, 'lng': 35.008403}"
1146,"{'lat': 32.777401, 'lng': 34.999359}"
153,"{'lat': 32.811986, 'lng': 35.066437}"
1150,"{'lat': 32.817847, 'lng': 34.964666}"
179,"{'lat': 32.810091, 'lng': 35.070661}"
1152,"{'lat': 32.817948, 'lng': 34.963603}"
1153,"{'lat': 32.79928, 'lng': 34.988155}"
1154,"{'lat': 32.800678, 'lng': 34.98642}"
1155,"{'lat': 32.782085, 'lng': 34.989044}"
5939,"{'lat': 32.832645, 'lng': 34.983883}"
5931,"{'lat': 32.819567, 'lng': 34.999619}"
5933,"{'lat': 32.819758, 'lng': 34.997062}"
5940,"{'lat': 32.832604, 'lng': 34.98387}"
5945,"{'lat': 32.830917, 'lng': 34.985401}"
5979,"{'lat': 32.78633, 'lng': 35.024726}"
6014,"{'lat': 32.797751, 'lng': 34.957202}"
6024,"{'lat': 32.776439, 'lng': 34.991444}"
6046,"{'lat': 32.80553, 'lng': 35.005696}"
6049,"{'lat': 32.808192, 'lng': 35.003589}"
6064,"{'lat': 32.779025, 'lng': 35.002681}"
4848,"{'lat': 32.791762, 'lng': 35.009996}"
5793,"{'lat': 32.787469, 'lng': 35.013103}"
5828,"{'lat': 32.807791, 'lng': 34.963586}"
5934,"{'lat': 32.819061, 'lng': 34.996345}"
6060,"{'lat': 32.820313, 'lng': 34.993538}"
6055,"{'lat': 32.785666, 'lng': 34.985873}"
6057,"{'lat': 32.778893, 'lng': 34.982198}"
6061,"{'lat': 32.824114, 'lng': 34.99245}"
6062,"{'lat': 32.818514, 'lng': 34.971338}"
6063,"{'lat': 32.798515, 'lng': 35.015728}"
6081,"{'lat': 32.812013, 'lng': 34.99993}"
13367,"{'lat': 32.787773, 'lng': 34.991559}"
13368,"{'lat': 32.786788, 'lng': 34.989716}"
13380,"{'lat': 32.798599, 'lng': 34.98792}"
13382,"{'lat': 32.820366, 'lng': 34.974378}"
13388,"{'lat': 32.796975, 'lng': 35.007149}"
13389,"{'lat': 32.798371, 'lng': 35.008938}"
13391,"{'lat': 32.797497, 'lng': 35.007277}"
13396,"{'lat': 32.782303, 'lng': 35.008183}"
13397,"{'lat': 32.766652, 'lng': 35.011817}"
13417,"{'lat': 32.804996, 'lng': 35.008963}"
13418,"{'lat': 32.797658, 'lng': 35.01779}"
13419,"{'lat': 32.801088, 'lng': 35.011011}"
13470,"{'lat': 32.7869, 'lng': 35.016259}"
13488,"{'lat': 32.824963, 'lng': 35.062959}"
1382,"{'lat': 32.820481, 'lng': 34.958001}"
13492,"{'lat': 32.819913, 'lng': 35.055669}"
13515,"{'lat': 32.821094, 'lng': 34.973502}"
11159,"{'lat': 32.780001, 'lng': 34.985411}"
11661,"{'lat': 32.818978, 'lng': 34.982951}"
11502,"{'lat': 32.790454, 'lng': 34.986961}"
11655,"{'lat': 32.788901, 'lng': 34.992993}"
11507,"{'lat': 32.787193, 'lng': 34.988849}"
11497,"{'lat': 32.787767, 'lng': 34.986037}"
11266,"{'lat': 32.813802, 'lng': 35.000518}"
13628,"{'lat': 32.777935, 'lng': 34.98636}"
13471,"{'lat': 32.767055, 'lng': 35.01242}"
13469,"{'lat': 32.761979, 'lng': 35.01833}"
13468,"{'lat': 32.763103, 'lng': 35.016927}"
13466,"{'lat': 32.775091, 'lng': 35.027749}"
13379,"{'lat': 32.789732, 'lng': 34.99743}"
13385,"{'lat': 32.815098, 'lng': 34.960203}"
13485,"{'lat': 32.787714, 'lng': 34.970588}"
3297,"{'lat': 32.773449, 'lng': 35.011198}"
6091,"{'lat': 32.773217, 'lng': 35.006206}"
6092,"{'lat': 32.773372, 'lng': 35.00575}"
6093,"{'lat': 32.775027, 'lng': 35.003142}"
6332,"{'lat': 32.777448, 'lng': 35.005548}"
6271,"{'lat': 32.831627, 'lng': 35.065855}"
6345,"{'lat': 32.789717, 'lng': 35.0206}"
6311,"{'lat': 32.785147, 'lng': 35.011977}"
6321,"{'lat': 32.802918, 'lng': 35.001125}"
6330,"{'lat': 32.764862, 'lng': 34.981423}"
6343,"{'lat': 32.817357, 'lng': 34.984233}"
6347,"{'lat': 32.799034, 'lng': 35.011981}"
6278,"{'lat': 32.808636, 'lng': 35.061319}"
6310,"{'lat': 32.792509, 'lng': 35.00912}"
6296,"{'lat': 32.810643, 'lng': 34.982295}"
6280,"{'lat': 32.808627, 'lng': 35.061285}"
6338,"{'lat': 32.796494, 'lng': 35.011307}"
6333,"{'lat': 32.791908, 'lng': 35.022855}"
6329,"{'lat': 32.795636, 'lng': 35.01878}"
6380,"{'lat': 32.819528, 'lng': 34.980597}"
11504,"{'lat': 32.792707, 'lng': 34.986229}"
10656,"{'lat': 32.786578, 'lng': 34.996333}"
10658,"{'lat': 32.79418, 'lng': 35.018054}"
10660,"{'lat': 32.789643, 'lng': 34.992089}"
10683,"{'lat': 32.814253, 'lng': 34.957152}"
10688,"{'lat': 32.818689, 'lng': 34.957599}"
10689,"{'lat': 32.816417, 'lng': 34.956185}"
10698,"{'lat': 32.794095, 'lng': 35.013571}"
10699,"{'lat': 32.792317, 'lng': 35.015972}"
2837,"{'lat': 32.786598, 'lng': 35.009494}"
2798,"{'lat': 32.778341, 'lng': 34.991198}"
1989,"{'lat': 32.817775, 'lng': 34.993147}"
2339,"{'lat': 32.785171, 'lng': 34.966618}"
6174,"{'lat': 32.789547, 'lng': 34.99615}"
11167,"{'lat': 32.773656, 'lng': 34.990477}"
10987,"{'lat': 32.783155, 'lng': 34.987593}"
11548,"{'lat': 32.801336, 'lng': 35.008024}"
11514,"{'lat': 32.806589, 'lng': 34.969879}"
10811,"{'lat': 32.767141, 'lng': 35.007395}"
1383,"{'lat': 32.801737, 'lng': 34.990347}"
133,"{'lat': 32.798907, 'lng': 34.999751}"
1109,"{'lat': 32.775742, 'lng': 35.008747}"
